https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1627203600000,2021-07-25 09:00:00,DOGE/USD,0.19795,0.19846,0.19687,0.19817,125353.06859,24841.2176024803
1627200000000,2021-07-25 08:00:00,DOGE/USD,0.19893,0.20076,0.19708,0.19795,50350.350747,9966.851930368648
1627196400000,2021-07-25 07:00:00,DOGE/USD,0.19755,0.19957,0.19755,0.19893,190561.830588,37908.46495887084
1627192800000,2021-07-25 06:00:00,DOGE/USD,0.19703,0.19806,0.1966,0.19755,133831.756401,26438.463477017547
1627189200000,2021-07-25 05:00:00,DOGE/USD,0.19848,0.1994,0.19614,0.19703,325627.361172,64158.358971719164
1627185600000,2021-07-25 04:00:00,DOGE/USD,0.19336,0.20039,0.19335,0.19848,2326301.34890752,461724.29173116456
1627182000000,2021-07-25 03:00:00,DOGE/USD,0.1942,0.19472,0.19308,0.19336,117008.4243647,22624.748935158394
1627178400000,2021-07-25 02:00:00,DOGE/USD,0.19176,0.19425,0.19175,0.1942,141249.68663492,27430.68914450147
1627174800000,2021-07-25 01:00:00,DOGE/USD,0.19409,0.19492,0.19137,0.19176,293977.657162,56373.15553738513
1627171200000,2021-07-25 00:00:00,DOGE/USD,0.19717,0.19796,0.19354,0.19409,241695.461197,46910.67206372573
1627167600000,2021-07-24 23:00:00,DOGE/USD,0.19651,0.19779,0.195,0.19717,66971.10708087,13204.69318313514
1627164000000,2021-07-24 22:00:00,DOGE/USD,0.19673,0.19673,0.19452,0.19651,144765.48911915,28447.866266804165
1627160400000,2021-07-24 21:00:00,DOGE/USD,0.19482,0.19703,0.19411,0.19673,104311.564164,20521.21401798372
1627156800000,2021-07-24 20:00:00,DOGE/USD,0.19516,0.19653,0.19263,0.19482,1204045.92782396,234572.2276586639
1627153200000,2021-07-24 19:00:00,DOGE/USD,0.2002,0.2002,0.19446,0.19516,323110.4099252,63058.22760100203
1627149600000,2021-07-24 18:00:00,DOGE/USD,0.19954,0.20114,0.19902,0.2002,272193.94963168,54493.228716262325
1627146000000,2021-07-24 17:00:00,DOGE/USD,0.20259,0.2027,0.19814,0.19954,1264747.55014206,252367.72615534667
1627142400000,2021-07-24 16:00:00,DOGE/USD,0.19552,0.20442,0.19453,0.20259,1013396.83500726,205304.0648041208
1627138800000,2021-07-24 15:00:00,DOGE/USD,0.19501,0.19639,0.19407,0.19552,445862.575454,87175.05075276608
1627135200000,2021-07-24 14:00:00,DOGE/USD,0.19602,0.19602,0.19481,0.19501,141172.0928944,27529.969835336942
1627131600000,2021-07-24 13:00:00,DOGE/USD,0.19557,0.19631,0.19505,0.19602,148665.50434431,29141.412161571647
1627128000000,2021-07-24 12:00:00,DOGE/USD,0.19596,0.19674,0.194,0.19557,895290.8197,175092.025608729
1627124400000,2021-07-24 11:00:00,DOGE/USD,0.19617,0.19894,0.19475,0.19596,1264876.21726522,247865.14353529247
1627120800000,2021-07-24 10:00:00,DOGE/USD,0.194,0.19741,0.19278,0.19617,1615342.436833,316881.72583352966
1627117200000,2021-07-24 09:00:00,DOGE/USD,0.19266,0.194,0.19266,0.194,104555.4935182,20283.765742530803
1627113600000,2021-07-24 08:00:00,DOGE/USD,0.19414,0.19414,0.19212,0.19266,181681.524838,35002.76257528908
1627110000000,2021-07-24 07:00:00,DOGE/USD,0.19587,0.1962,0.19354,0.19414,122940.66633183,23867.700961661478
1627106400000,2021-07-24 06:00:00,DOGE/USD,0.19362,0.19587,0.19316,0.19587,167198.57388157,32749.18466618311
