https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1648501200000,2022-03-28 21:00:00,1INCH/USD,1.8198,1.8234,1.762,1.7737,1422.245467,2522.6367848179
1648497600000,2022-03-28 20:00:00,1INCH/USD,1.8103,1.8212,1.8055,1.8198,801.353398,1458.3029136804
1648494000000,2022-03-28 19:00:00,1INCH/USD,1.8223,1.8277,1.8061,1.8103,211.744662,383.3213616186
1648490400000,2022-03-28 18:00:00,1INCH/USD,1.8002,1.8223,1.8,1.8223,1100.949962,2006.2611157525998
1648486800000,2022-03-28 17:00:00,1INCH/USD,1.7914,1.8008,1.7814,1.8002,77.547981,139.6018753962
1648483200000,2022-03-28 16:00:00,1INCH/USD,1.7858,1.8027,1.7684,1.7914,2288.681782,4099.9445442748
1648479600000,2022-03-28 15:00:00,1INCH/USD,1.8067,1.8152,1.7836,1.7858,1711.523249,3056.4382180642
1648476000000,2022-03-28 14:00:00,1INCH/USD,1.8179,1.8179,1.7836,1.8067,1476.282139,2667.1989405312997
1648472400000,2022-03-28 13:00:00,1INCH/USD,1.7971,1.819,1.7967,1.8179,165.580095,301.0080547005
1648468800000,2022-03-28 12:00:00,1INCH/USD,1.7956,1.803,1.7905,1.7971,4803.42898,8632.242219958
1648465200000,2022-03-28 11:00:00,1INCH/USD,1.8031,1.8061,1.7947,1.7956,1398.647098,2511.4107291688
1648461600000,2022-03-28 10:00:00,1INCH/USD,1.8022,1.8146,1.8003,1.8031,557.903923,1005.9565635612998
1648458000000,2022-03-28 09:00:00,1INCH/USD,1.7941,1.8091,1.7854,1.8022,4557.45717,8213.449311774
1648454400000,2022-03-28 08:00:00,1INCH/USD,1.7952,1.7952,1.7741,1.7941,237.577426,426.2376599866
1648450800000,2022-03-28 07:00:00,1INCH/USD,1.7735,1.7977,1.7735,1.7952,404.442969,726.0560179488
1648447200000,2022-03-28 06:00:00,1INCH/USD,1.7992,1.7992,1.7562,1.7735,1228.797638,2179.272610993
1648443600000,2022-03-28 05:00:00,1INCH/USD,1.7922,1.8008,1.7883,1.7992,321.724514,578.8467455888
1648440000000,2022-03-28 04:00:00,1INCH/USD,1.7886,1.8187,1.7863,1.7922,1321.984924,2369.2613807928
1648436400000,2022-03-28 03:00:00,1INCH/USD,1.7631,1.7959,1.7631,1.7886,1825.372017,3264.8603896062
1648432800000,2022-03-28 02:00:00,1INCH/USD,1.7448,1.7651,1.7441,1.7631,524.957814,925.5531218634
