https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USD
1650852000000,2022-04-25 02:00:00,APE/USD,16.49,16.778,16.358,16.774,3656.982949,61342.23198652601
1650848400000,2022-04-25 01:00:00,APE/USD,16.252,16.553,16.156,16.49,20272.628609,334295.64576240996
1650844800000,2022-04-25 00:00:00,APE/USD,16.871,16.936,16.23,16.252,21305.812049,346262.057420348
1650841200000,2022-04-24 23:00:00,APE/USD,17.147,17.191,16.671,16.871,4380.51652,73903.69420892
1650837600000,2022-04-24 22:00:00,APE/USD,17.444,17.463,17.061,17.147,10546.744937,180845.03543473897
1650834000000,2022-04-24 21:00:00,APE/USD,17.325,17.598,17.24,17.444,2706.996302,47220.843492087995
1650830400000,2022-04-24 20:00:00,APE/USD,17.625,17.873,17.263,17.325,14220.75055,246374.50327875
1650826800000,2022-04-24 19:00:00,APE/USD,17.131,17.749,17.054,17.625,10537.790982,185728.56605775
1650823200000,2022-04-24 18:00:00,APE/USD,16.849,17.272,16.845,17.131,6916.741317,118490.695501527
1650819600000,2022-04-24 17:00:00,APE/USD,17.192,17.227,16.738,16.849,6287.886899,105944.606361251
1650816000000,2022-04-24 16:00:00,APE/USD,17.204,17.364,16.887,17.192,12646.846565,217424.58614548
1650812400000,2022-04-24 15:00:00,APE/USD,17.059,17.427,16.743,17.204,23016.713583,395979.54048193205
1650808800000,2022-04-24 14:00:00,APE/USD,16.42,17.337,16.401,17.059,10233.229012,174568.653715708
1650805200000,2022-04-24 13:00:00,APE/USD,16.159,16.429,16.065,16.42,3198.810711,52524.47187462001
1650801600000,2022-04-24 12:00:00,APE/USD,16.35,16.383,16.126,16.159,8124.720409,131287.357089031
1650798000000,2022-04-24 11:00:00,APE/USD,16.416,16.491,16.166,16.35,2736.954111,44749.19971485
1650794400000,2022-04-24 10:00:00,APE/USD,16.55,16.686,16.373,16.416,1534.919838,25197.244060608
1650790800000,2022-04-24 09:00:00,APE/USD,16.511,16.638,16.315,16.55,4529.179416,74957.9193348
1650787200000,2022-04-24 08:00:00,APE/USD,16.494,16.783,16.393,16.511,4311.209985,71182.388062335
1650783600000,2022-04-24 07:00:00,APE/USD,16.372,16.571,16.211,16.494,6210.580745,102437.31880803
1650780000000,2022-04-24 06:00:00,APE/USD,16.193,16.484,16.132,16.372,6483.155582,106142.22318850401
1650776400000,2022-04-24 05:00:00,APE/USD,16.131,16.251,16.0,16.193,9689.885587,156908.31731029102
1650772800000,2022-04-24 04:00:00,APE/USD,16.214,16.322,15.931,16.131,7089.758861,114364.90018679101
1650769200000,2022-04-24 03:00:00,APE/USD,16.242,16.323,16.018,16.214,7471.256006,121138.94488128398
1650765600000,2022-04-24 02:00:00,APE/USD,16.162,16.342,16.026,16.242,7463.305428,121219.006761576
1650762000000,2022-04-24 01:00:00,APE/USD,16.45,16.529,16.073,16.162,4907.921571,79321.82843050199
1650758400000,2022-04-24 00:00:00,APE/USD,16.714,16.781,16.37,16.45,12958.373281,213165.24047244998
1650754800000,2022-04-23 23:00:00,APE/USD,16.574,16.755,16.3,16.714,21185.265974,354090.535489436
1650751200000,2022-04-23 22:00:00,APE/USD,16.991,17.057,16.543,16.574,31117.530743,515741.95453448204
1650747600000,2022-04-23 21:00:00,APE/USD,17.102,17.18,16.898,16.991,15576.701449,264663.734319959
1650744000000,2022-04-23 20:00:00,APE/USD,17.288,17.377,16.817,17.102,15287.246592,261442.491216384
1650740400000,2022-04-23 19:00:00,APE/USD,17.661,17.676,17.119,17.288,12046.735107,208263.956529816
1650736800000,2022-04-23 18:00:00,APE/USD,17.6,17.908,17.495,17.661,15089.272043,266491.63355142303
1650733200000,2022-04-23 17:00:00,APE/USD,18.189,18.189,17.501,17.6,31349.004577,551742.4805552
1650729600000,2022-04-23 16:00:00,APE/USD,17.515,18.427,17.209,18.189,55157.106229,1003252.605199281
1650726000000,2022-04-23 15:00:00,APE/USD,16.697,17.967,16.697,17.515,62032.562462,1086500.3315219302
1650722400000,2022-04-23 14:00:00,APE/USD,16.592,16.887,16.445,16.697,25459.815394,425102.537633618
1650718800000,2022-04-23 13:00:00,APE/USD,16.584,16.744,16.368,16.592,11037.64667,183136.63354863998
