https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENS,Volume USD
1646877600000,2022-03-10 02:00:00,ENS/USD,14.978,15.372,14.978,15.136,153.272285,2319.9293057600003
1646874000000,2022-03-10 01:00:00,ENS/USD,15.0,15.539,14.978,14.978,76.083471,1139.578228638
1646870400000,2022-03-10 00:00:00,ENS/USD,14.757,15.0,14.602,15.0,53.455209,801.8281350000001
1646866800000,2022-03-09 23:00:00,ENS/USD,14.514,14.757,14.421,14.757,3.854659,56.883202862999994
1646863200000,2022-03-09 22:00:00,ENS/USD,14.4,14.514,14.4,14.514,6.652442,96.55354318799999
1646859600000,2022-03-09 21:00:00,ENS/USD,14.422,14.422,14.375,14.4,1.127422,16.2348768
1646856000000,2022-03-09 20:00:00,ENS/USD,14.583,14.583,14.422,14.422,2.766841,39.903380902
1646852400000,2022-03-09 19:00:00,ENS/USD,14.47,14.583,14.453,14.583,7.884699,114.98256551700001
1646848800000,2022-03-09 18:00:00,ENS/USD,14.644,14.644,14.47,14.47,0.9,13.023000000000001
1646845200000,2022-03-09 17:00:00,ENS/USD,14.687,14.687,14.638,14.644,8.511634,124.64436829600001
1646841600000,2022-03-09 16:00:00,ENS/USD,14.587,14.826,14.587,14.687,17.732112,260.431528944
1646838000000,2022-03-09 15:00:00,ENS/USD,14.604,14.604,14.526,14.587,12.266186,178.926855182
1646834400000,2022-03-09 14:00:00,ENS/USD,14.431,14.604,14.431,14.604,7.890514,115.23306645599999
1646830800000,2022-03-09 13:00:00,ENS/USD,14.693,14.693,14.431,14.431,13.309857,192.07454636699998
1646827200000,2022-03-09 12:00:00,ENS/USD,14.696,14.696,14.657,14.693,0.414489,6.090086877
1646823600000,2022-03-09 11:00:00,ENS/USD,14.779,14.779,14.696,14.696,0.002,0.029392
1646820000000,2022-03-09 10:00:00,ENS/USD,14.705,14.779,14.705,14.779,1.326419,19.603146401
1646816400000,2022-03-09 09:00:00,ENS/USD,15.014,15.014,14.705,14.705,0.108667,1.597948235
1646812800000,2022-03-09 08:00:00,ENS/USD,14.726,15.014,14.63,15.014,37.111209,557.187691926
1646809200000,2022-03-09 07:00:00,ENS/USD,14.521,14.769,14.521,14.726,266.983201,3931.5946179260004
1646805600000,2022-03-09 06:00:00,ENS/USD,14.775,14.775,14.521,14.521,0.5,7.2605
1646802000000,2022-03-09 05:00:00,ENS/USD,14.87,14.87,14.775,14.775,47.226628,697.7734287
1646798400000,2022-03-09 04:00:00,ENS/USD,14.671,14.87,14.664,14.87,36.618705,544.5201433499999
1646794800000,2022-03-09 03:00:00,ENS/USD,14.098,14.671,14.053,14.671,227.988808,3344.823802168
1646791200000,2022-03-09 02:00:00,ENS/USD,14.057,14.207,14.057,14.098,11.294151,159.224940798
1646787600000,2022-03-09 01:00:00,ENS/USD,14.031,14.057,14.012,14.057,2.555538,35.923197666
1646784000000,2022-03-09 00:00:00,ENS/USD,13.811,14.031,13.811,14.031,739.948502,10382.217431562
1646780400000,2022-03-08 23:00:00,ENS/USD,13.617,13.811,13.617,13.811,8.705268,120.22845634800001
1646776800000,2022-03-08 22:00:00,ENS/USD,13.754,13.754,13.617,13.617,16.601441,226.06182209700003
1646773200000,2022-03-08 21:00:00,ENS/USD,13.903,13.903,13.754,13.754,2.793944,38.427905776
1646769600000,2022-03-08 20:00:00,ENS/USD,13.963,13.988,13.894,13.903,26.0355,361.9715565
1646766000000,2022-03-08 19:00:00,ENS/USD,14.101,14.101,13.85,13.963,2.713542,37.889186945999995
1646762400000,2022-03-08 18:00:00,ENS/USD,14.392,14.484,14.101,14.101,514.982144,7261.7632125439995
1646758800000,2022-03-08 17:00:00,ENS/USD,13.73,14.392,13.73,14.392,4.415814,63.552395088
1646755200000,2022-03-08 16:00:00,ENS/USD,13.687,13.776,13.687,13.73,1.699963,23.34049199
1646751600000,2022-03-08 15:00:00,ENS/USD,13.939,13.939,13.687,13.687,0.307393,4.207287991
1646748000000,2022-03-08 14:00:00,ENS/USD,14.088,14.088,13.939,13.939,58.968748,821.9653783719999
1646744400000,2022-03-08 13:00:00,ENS/USD,14.016,14.088,14.016,14.088,8.518368,120.006768384
1646740800000,2022-03-08 12:00:00,ENS/USD,14.228,14.228,14.016,14.016,7.22931,101.32600896
1646737200000,2022-03-08 11:00:00,ENS/USD,14.211,14.228,14.183,14.228,2.660041,37.847063348
1646733600000,2022-03-08 10:00:00,ENS/USD,14.3,14.3,14.211,14.211,0.002,0.028422000000000003
1646730000000,2022-03-08 09:00:00,ENS/USD,14.3,14.3,14.29,14.3,0.506994,7.2500142
1646726400000,2022-03-08 08:00:00,ENS/USD,13.956,14.3,13.858,14.3,8.801722,125.8646246
1646722800000,2022-03-08 07:00:00,ENS/USD,13.943,13.956,13.943,13.956,3.213173,44.84304238799999
1646719200000,2022-03-08 06:00:00,ENS/USD,13.999,14.022,13.943,13.943,0.91854,12.80720322
1646715600000,2022-03-08 05:00:00,ENS/USD,14.121,14.121,13.705,13.999,1496.866271,20954.630927729002
1646712000000,2022-03-08 04:00:00,ENS/USD,14.151,14.178,14.121,14.121,10.919177,154.189698417
1646708400000,2022-03-08 03:00:00,ENS/USD,14.273,14.273,14.101,14.151,823.982879,11660.181720729
1646704800000,2022-03-08 02:00:00,ENS/USD,13.9,14.394,13.9,14.273,710.391474,10139.417508402
1646701200000,2022-03-08 01:00:00,ENS/USD,13.969,14.012,13.9,13.9,8.44285,117.355615
1646697600000,2022-03-08 00:00:00,ENS/USD,13.752,13.969,13.613,13.969,10.511025,146.828508225
1646694000000,2022-03-07 23:00:00,ENS/USD,13.928,13.929,13.752,13.752,102.61393,1411.14676536
1646690400000,2022-03-07 22:00:00,ENS/USD,13.7,14.0,13.651,13.928,2564.259285,35715.003321480006
1646686800000,2022-03-07 21:00:00,ENS/USD,13.486,13.7,13.359,13.7,476.883141,6533.2990317
1646683200000,2022-03-07 20:00:00,ENS/USD,13.405,13.486,13.209,13.486,114.481835,1543.90202681
1646679600000,2022-03-07 19:00:00,ENS/USD,13.69,13.69,13.405,13.405,68.427706,917.27339893
1646676000000,2022-03-07 18:00:00,ENS/USD,14.027,14.027,13.6,13.69,96.501917,1321.11124373
1646672400000,2022-03-07 17:00:00,ENS/USD,14.116,14.116,13.949,14.027,99.724431,1398.834593637
1646668800000,2022-03-07 16:00:00,ENS/USD,14.478,14.536,14.116,14.116,31.855197,449.667960852
1646665200000,2022-03-07 15:00:00,ENS/USD,14.225,14.478,13.86,14.478,76.408196,1106.237861688
1646661600000,2022-03-07 14:00:00,ENS/USD,14.177,14.225,14.177,14.225,6.61874,94.15157649999999
1646658000000,2022-03-07 13:00:00,ENS/USD,13.898,14.177,13.851,14.177,193.209578,2739.1321873059997
1646654400000,2022-03-07 12:00:00,ENS/USD,13.451,13.898,13.451,13.898,4.702334,65.35303793199999
1646650800000,2022-03-07 11:00:00,ENS/USD,13.535,13.535,13.451,13.451,0.002,0.026902000000000002
1646647200000,2022-03-07 10:00:00,ENS/USD,13.599,13.599,13.535,13.535,1.092873,14.792036055
1646643600000,2022-03-07 09:00:00,ENS/USD,13.411,13.655,13.411,13.599,0.442941,6.023554658999999
1646640000000,2022-03-07 08:00:00,ENS/USD,13.528,13.528,13.411,13.411,39.609,531.196299
1646636400000,2022-03-07 07:00:00,ENS/USD,13.687,13.722,13.528,13.528,90.300246,1221.5817278880002
1646632800000,2022-03-07 06:00:00,ENS/USD,13.6,13.687,13.6,13.687,7.063476,96.67779601199999
1646629200000,2022-03-07 05:00:00,ENS/USD,13.577,13.6,13.577,13.6,2.244298,30.5224528
1646625600000,2022-03-07 04:00:00,ENS/USD,13.553,13.577,13.548,13.577,0.064,0.868928
1646622000000,2022-03-07 03:00:00,ENS/USD,13.506,13.557,13.418,13.553,28.700087,388.97227911100003
1646618400000,2022-03-07 02:00:00,ENS/USD,14.288,14.288,13.506,13.506,86.255402,1164.965459412
1646614800000,2022-03-07 01:00:00,ENS/USD,13.954,14.331,13.954,14.288,35.7507,510.80600160000006
1646611200000,2022-03-07 00:00:00,ENS/USD,14.059,14.059,13.7,13.954,12.585134,175.61295983600002
1646607600000,2022-03-06 23:00:00,ENS/USD,14.419,14.419,13.933,14.059,270.817549,3807.4239213909996
