https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1649350800000,2022-04-07 17:00:00,BTCG/USD,43334.12,43643.63,43334.12,43561.2,0.02605412,1134.948732144
1649347200000,2022-04-07 16:00:00,BTCG/USD,43308.68,43464.05,43308.68,43334.12,0.12750421,5525.2827366452
1649343600000,2022-04-07 15:00:00,BTCG/USD,43503.92,43503.92,43282.51,43308.68,0.00354777,153.6492356436
1649340000000,2022-04-07 14:00:00,BTCG/USD,43563.35,43576.65,43503.92,43503.92,0.01338945,582.493561644
1649336400000,2022-04-07 13:00:00,BTCG/USD,43608.06,43608.06,43424.24,43563.35,0.04788633,2086.0889540055
1649332800000,2022-04-07 12:00:00,BTCG/USD,43738.67,43865.46,43598.72,43608.06,0.00208914,91.1033424684
1649329200000,2022-04-07 11:00:00,BTCG/USD,43466.79,43803.35,43377.03,43738.67,0.64363755,28151.850399058498
1649325600000,2022-04-07 10:00:00,BTCG/USD,43364.38,43481.13,43355.32,43466.79,0.17460353,7589.4549717687005
1649322000000,2022-04-07 09:00:00,BTCG/USD,43480.57,43510.4,43364.38,43364.38,0.01412648,612.5860467824
1649318400000,2022-04-07 08:00:00,BTCG/USD,43497.74,43497.74,43480.57,43480.57,0.00685317,297.97973790689997
1649314800000,2022-04-07 07:00:00,BTCG/USD,43284.46,43497.75,43284.46,43497.74,0.05409124,2352.8466937976
1649311200000,2022-04-07 06:00:00,BTCG/USD,43320.59,43320.59,43284.46,43284.46,0.00034295,14.844405557
1649307600000,2022-04-07 05:00:00,BTCG/USD,43421.8,43421.8,43320.59,43320.59,0.0002244,9.721140396
1649304000000,2022-04-07 04:00:00,BTCG/USD,43300.51,43421.8,43300.51,43421.8,0.16980304,7373.153642272
1649300400000,2022-04-07 03:00:00,BTCG/USD,43223.29,43300.51,43223.29,43300.51,0.00306923,132.89922430730002
1649296800000,2022-04-07 02:00:00,BTCG/USD,43339.27,43364.71,43223.29,43223.29,0.23906783,10333.2981457607
1649293200000,2022-04-07 01:00:00,BTCG/USD,42895.7,43339.27,42895.7,43339.27,0.11923876,5167.7208141052
1649289600000,2022-04-07 00:00:00,BTCG/USD,43266.05,43464.83,42755.0,42895.7,0.34570022,14829.052927054
1649286000000,2022-04-06 23:00:00,BTCG/USD,43565.02,43565.02,43266.05,43266.05,0.0009651,41.756064855000005
1649282400000,2022-04-06 22:00:00,BTCG/USD,43828.18,43828.18,43565.02,43565.02,0.03139216,1367.6000782432
1649278800000,2022-04-06 21:00:00,BTCG/USD,43974.95,44041.09,43828.18,43828.18,0.03073732,1347.1607936776
1649275200000,2022-04-06 20:00:00,BTCG/USD,43779.88,43974.95,43779.88,43974.95,0.01125833,495.0844988335
