https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD
1645347600000,2022-02-20 09:00:00,CUBE/USD,5.1393,5.1445,5.1235,5.1325,202.946393,1041.6223620725
1645344000000,2022-02-20 08:00:00,CUBE/USD,5.1805,5.2128,5.1126,5.1393,2131.064808,10952.181367754401
1645340400000,2022-02-20 07:00:00,CUBE/USD,5.1767,5.19,5.13,5.1805,1933.663949,10017.3460877945
1645336800000,2022-02-20 06:00:00,CUBE/USD,5.599,5.6215,5.1377,5.1767,8232.818352,42618.8307627984
1645333200000,2022-02-20 05:00:00,CUBE/USD,5.6135,5.6231,5.5973,5.599,146.41563,819.78111237
1645329600000,2022-02-20 04:00:00,CUBE/USD,5.6543,5.6682,5.5925,5.6135,1734.713536,9737.814434336
1645326000000,2022-02-20 03:00:00,CUBE/USD,5.9449,5.9449,5.6204,5.6543,5078.977316,28718.061437858803
1645322400000,2022-02-20 02:00:00,CUBE/USD,5.9895,6.0114,5.862,5.9449,618.147911,3674.8275161039
1645318800000,2022-02-20 01:00:00,CUBE/USD,5.9796,6.0172,5.9613,5.9895,475.242822,2846.466882369
1645315200000,2022-02-20 00:00:00,CUBE/USD,5.9816,6.0093,5.9701,5.9796,158.448455,947.4583815179999
1645311600000,2022-02-19 23:00:00,CUBE/USD,5.9856,5.9856,5.9726,5.9816,53.119402,317.7390150032
1645308000000,2022-02-19 22:00:00,CUBE/USD,5.9752,6.0,5.9497,5.9856,787.049689,4710.9646184784
1645304400000,2022-02-19 21:00:00,CUBE/USD,5.9877,5.9937,5.9642,5.9752,377.348326,2254.7317175151998
1645300800000,2022-02-19 20:00:00,CUBE/USD,5.977,6.025,5.968,5.9877,648.524647,3883.1710288419
1645297200000,2022-02-19 19:00:00,CUBE/USD,5.9694,5.987,5.9626,5.977,210.175376,1256.218222352
1645293600000,2022-02-19 18:00:00,CUBE/USD,5.9431,5.9814,5.9394,5.9694,295.268933,1762.5783686502
1645290000000,2022-02-19 17:00:00,CUBE/USD,5.9515,5.9756,5.9258,5.9431,700.859973,4165.2809055363
1645286400000,2022-02-19 16:00:00,CUBE/USD,5.9277,5.9515,5.913,5.9515,1142.837654,6801.598297781
1645282800000,2022-02-19 15:00:00,CUBE/USD,5.9228,5.93,5.9,5.9277,584.342689,3463.8081575852993
1645279200000,2022-02-19 14:00:00,CUBE/USD,5.9531,5.9531,5.9164,5.9228,1999.599649,11843.228801097199
1645275600000,2022-02-19 13:00:00,CUBE/USD,5.9389,5.9721,5.93,5.9531,504.871514,3005.5506099934
1645272000000,2022-02-19 12:00:00,CUBE/USD,5.835,5.9595,5.8324,5.9389,2681.32524,15924.122467836001
1645268400000,2022-02-19 11:00:00,CUBE/USD,6.1982,6.1982,5.75,5.835,5971.185852,34841.869446419994
1645264800000,2022-02-19 10:00:00,CUBE/USD,6.1893,6.1982,6.1843,6.1982,6.777139,42.0060629498
1645261200000,2022-02-19 09:00:00,CUBE/USD,6.1947,6.2014,6.1893,6.1893,17.719479,109.67117137470001
1645257600000,2022-02-19 08:00:00,CUBE/USD,6.2043,6.208,6.1947,6.1947,5.870029,36.3630686463
1645254000000,2022-02-19 07:00:00,CUBE/USD,6.19,6.23,6.1861,6.2043,2094.539915,12995.153994634498
1645250400000,2022-02-19 06:00:00,CUBE/USD,6.2006,6.2015,6.19,6.19,22.972388,142.19908172
1645246800000,2022-02-19 05:00:00,CUBE/USD,6.197,6.2036,6.19,6.2006,152.658605,946.5749461629999
1645243200000,2022-02-19 04:00:00,CUBE/USD,6.19,6.2057,6.19,6.197,38.528005,238.758046985
1645239600000,2022-02-19 03:00:00,CUBE/USD,6.1983,6.2052,6.19,6.19,25.694334,159.04792746
1645236000000,2022-02-19 02:00:00,CUBE/USD,6.2243,6.23,6.1818,6.1983,2181.440342,13521.2216718186
1645232400000,2022-02-19 01:00:00,CUBE/USD,6.3067,6.3067,6.2186,6.2243,3034.319213,18886.5130774759
1645228800000,2022-02-19 00:00:00,CUBE/USD,6.3099,6.3218,6.2709,6.3067,282.198636,1779.7421376612
1645225200000,2022-02-18 23:00:00,CUBE/USD,6.3045,6.312,6.2915,6.3099,104.796426,661.2549684173999
1645221600000,2022-02-18 22:00:00,CUBE/USD,6.3283,6.3283,6.3045,6.3045,94.280874,594.393770133
1645218000000,2022-02-18 21:00:00,CUBE/USD,6.3229,6.3333,6.3197,6.3283,24.027169,152.0511335827
1645214400000,2022-02-18 20:00:00,CUBE/USD,6.327,6.3566,6.31,6.3229,2637.946269,16679.4704642601
1645210800000,2022-02-18 19:00:00,CUBE/USD,6.3148,6.3348,6.31,6.327,170.313087,1077.570901449
1645207200000,2022-02-18 18:00:00,CUBE/USD,6.321,6.3225,6.31,6.3148,942.126121,5949.3380288908
1645203600000,2022-02-18 17:00:00,CUBE/USD,6.3147,6.35,6.31,6.321,346.662337,2191.2526321769997
1645200000000,2022-02-18 16:00:00,CUBE/USD,6.3201,6.3201,6.31,6.3147,778.640659,4916.882169387301
1645196400000,2022-02-18 15:00:00,CUBE/USD,6.31,6.3225,6.31,6.3201,197.95371,1251.087242571
1645192800000,2022-02-18 14:00:00,CUBE/USD,6.3126,6.3262,6.31,6.31,305.819532,1929.7212469199997
