https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPI,Volume USD
1647248400000,2022-03-14 09:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647244800000,2022-03-14 08:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647241200000,2022-03-14 07:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647237600000,2022-03-14 06:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647234000000,2022-03-14 05:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647230400000,2022-03-14 04:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647226800000,2022-03-14 03:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647223200000,2022-03-14 02:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647219600000,2022-03-14 01:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647216000000,2022-03-14 00:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647212400000,2022-03-13 23:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647208800000,2022-03-13 22:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647205200000,2022-03-13 21:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647201600000,2022-03-13 20:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647198000000,2022-03-13 19:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647194400000,2022-03-13 18:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647190800000,2022-03-13 17:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647187200000,2022-03-13 16:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647183600000,2022-03-13 15:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647180000000,2022-03-13 14:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647176400000,2022-03-13 13:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647172800000,2022-03-13 12:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
