https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MPL,Volume USD
1647882000000,2022-03-21 17:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647878400000,2022-03-21 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647874800000,2022-03-21 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647871200000,2022-03-21 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647867600000,2022-03-21 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647864000000,2022-03-21 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647860400000,2022-03-21 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647856800000,2022-03-21 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647853200000,2022-03-21 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647849600000,2022-03-21 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647846000000,2022-03-21 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647842400000,2022-03-21 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647838800000,2022-03-21 05:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647835200000,2022-03-21 04:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647831600000,2022-03-21 03:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647828000000,2022-03-21 02:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647824400000,2022-03-21 01:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647820800000,2022-03-21 00:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647817200000,2022-03-20 23:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647813600000,2022-03-20 22:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647810000000,2022-03-20 21:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647806400000,2022-03-20 20:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647802800000,2022-03-20 19:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647799200000,2022-03-20 18:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647795600000,2022-03-20 17:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647792000000,2022-03-20 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647788400000,2022-03-20 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647784800000,2022-03-20 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647781200000,2022-03-20 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647777600000,2022-03-20 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647774000000,2022-03-20 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647770400000,2022-03-20 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647766800000,2022-03-20 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647763200000,2022-03-20 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647759600000,2022-03-20 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647756000000,2022-03-20 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647752400000,2022-03-20 05:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647748800000,2022-03-20 04:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647745200000,2022-03-20 03:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647741600000,2022-03-20 02:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647738000000,2022-03-20 01:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647734400000,2022-03-20 00:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647730800000,2022-03-19 23:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647727200000,2022-03-19 22:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647723600000,2022-03-19 21:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
