unix,date,symbol,open,high,low,close,Volume XRP,Volume USD,just_date
1651569960,2022-05-03 09:26:00,XRP/USD,0.61759,0.61759,0.61759,0.61759,0.0,0.0,2022-05-03
1651569900,2022-05-03 09:25:00,XRP/USD,0.61759,0.61759,0.61759,0.61759,153.97898282,95.0958799998038,2022-05-03
1651569840,2022-05-03 09:24:00,XRP/USD,0.61661,0.61661,0.61661,0.61661,0.0,0.0,2022-05-03
1651569780,2022-05-03 09:23:00,XRP/USD,0.61661,0.61661,0.61661,0.61661,2630.72347969,1622.130404811651,2022-05-03
1651569720,2022-05-03 09:22:00,XRP/USD,0.61659,0.61659,0.61659,0.61659,0.0,0.0,2022-05-03
1651569660,2022-05-03 09:21:00,XRP/USD,0.61665,0.61665,0.61659,0.61659,2354.6576792,1451.858378417928,2022-05-03
1651569600,2022-05-03 09:20:00,XRP/USD,0.61739,0.61739,0.61739,0.61739,0.0,0.0,2022-05-03
1651569540,2022-05-03 09:19:00,XRP/USD,0.61739,0.61739,0.61739,0.61739,0.0,0.0,2022-05-03
1651569480,2022-05-03 09:18:00,XRP/USD,0.61747,0.61747,0.61739,0.61739,375.464813,231.80822089807,2022-05-03
1651569420,2022-05-03 09:17:00,XRP/USD,0.61745,0.61745,0.61745,0.61745,0.0,0.0,2022-05-03
1651569360,2022-05-03 09:16:00,XRP/USD,0.61745,0.61745,0.61745,0.61745,0.0,0.0,2022-05-03
1651569300,2022-05-03 09:15:00,XRP/USD,0.61745,0.61745,0.61745,0.61745,1826.593206,1127.8299750447002,2022-05-03
1651569240,2022-05-03 09:14:00,XRP/USD,0.6171,0.6171,0.6171,0.6171,77.15073731,47.609719994001,2022-05-03
1651569180,2022-05-03 09:13:00,XRP/USD,0.61664,0.61664,0.61664,0.61664,1230.13646536,758.5513499995905,2022-05-03
1651569120,2022-05-03 09:12:00,XRP/USD,0.61678,0.61679,0.61678,0.61679,1090.63720597,672.6941222702362,2022-05-03
1651569060,2022-05-03 09:11:00,XRP/USD,0.61696,0.61696,0.61678,0.61678,5105.67479977,3149.078103002141,2022-05-03
1651569000,2022-05-03 09:10:00,XRP/USD,0.61617,0.61628,0.61617,0.61628,4458.95178673,2747.962807125965,2022-05-03
1651568940,2022-05-03 09:09:00,XRP/USD,0.61553,0.61553,0.61553,0.61553,0.0,0.0,2022-05-03
1651568880,2022-05-03 09:08:00,XRP/USD,0.61555,0.61555,0.61553,0.61553,3995.28998924,2459.2208470768974,2022-05-03
1651568820,2022-05-03 09:07:00,XRP/USD,0.61578,0.61578,0.61578,0.61578,0.0,0.0,2022-05-03
1651568760,2022-05-03 09:06:00,XRP/USD,0.61578,0.61578,0.61578,0.61578,8991.93407503,5537.053164721973,2022-05-03
1651568700,2022-05-03 09:05:00,XRP/USD,0.61561,0.61561,0.61561,0.61561,8116.10583229,4996.355911416047,2022-05-03
1651568640,2022-05-03 09:04:00,XRP/USD,0.61536,0.61543,0.61521,0.61543,20917.36424122,12873.173474974024,2022-05-03
1651568580,2022-05-03 09:03:00,XRP/USD,0.61583,0.61583,0.61513,0.61558,16030.97048188,9868.34480923569,2022-05-03
1651568520,2022-05-03 09:02:00,XRP/USD,0.61619,0.61619,0.61619,0.61619,4871.0,3001.46149,2022-05-03
