unix,date,symbol,open,high,low,close,Volume LTC,Volume USD,just_date
1651439580,2022-05-01 21:13:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439520,2022-05-01 21:12:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439460,2022-05-01 21:11:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439400,2022-05-01 21:10:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439340,2022-05-01 21:09:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439280,2022-05-01 21:08:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439220,2022-05-01 21:07:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439160,2022-05-01 21:06:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439100,2022-05-01 21:05:00,LTC/USD,98.85,98.85,98.83,98.83,13.4950294,1333.713755602,2022-05-01
1651439040,2022-05-01 21:04:00,LTC/USD,99.08,99.08,99.07,99.07,10.09,999.6163,2022-05-01
1651438980,2022-05-01 21:03:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651438920,2022-05-01 21:02:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651438860,2022-05-01 21:01:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651438800,2022-05-01 21:00:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651438740,2022-05-01 20:59:00,LTC/USD,98.83,98.83,98.83,98.83,3.76413829,372.0097872007,2022-05-01
1651438680,2022-05-01 20:58:00,LTC/USD,97.91,97.91,97.91,97.91,0.0,0.0,2022-05-01
1651438620,2022-05-01 20:57:00,LTC/USD,97.91,97.91,97.91,97.91,0.0,0.0,2022-05-01
1651438560,2022-05-01 20:56:00,LTC/USD,97.91,97.91,97.91,97.91,0.0,0.0,2022-05-01
1651438500,2022-05-01 20:55:00,LTC/USD,97.91,97.91,97.91,97.91,0.0,0.0,2022-05-01
1651438440,2022-05-01 20:54:00,LTC/USD,97.83,97.92,97.83,97.91,26.92331692,2636.0619596372,2022-05-01
1651438380,2022-05-01 20:53:00,LTC/USD,97.81,97.81,97.81,97.81,0.0,0.0,2022-05-01
1651438320,2022-05-01 20:52:00,LTC/USD,97.81,97.81,97.81,97.81,0.0,0.0,2022-05-01
1651438260,2022-05-01 20:51:00,LTC/USD,97.81,97.81,97.81,97.81,0.0,0.0,2022-05-01
1651438200,2022-05-01 20:50:00,LTC/USD,97.81,97.81,97.81,97.81,0.0,0.0,2022-05-01
1651438140,2022-05-01 20:49:00,LTC/USD,97.81,97.81,97.81,97.81,0.0,0.0,2022-05-01
1651438080,2022-05-01 20:48:00,LTC/USD,97.81,97.81,97.81,97.81,0.0,0.0,2022-05-01
1651438020,2022-05-01 20:47:00,LTC/USD,97.81,97.81,97.81,97.81,0.0,0.0,2022-05-01
1651437960,2022-05-01 20:46:00,LTC/USD,97.81,97.81,97.81,97.81,0.0,0.0,2022-05-01
1651437900,2022-05-01 20:45:00,LTC/USD,97.88,97.88,97.81,97.81,370.0,36189.7,2022-05-01
1651437840,2022-05-01 20:44:00,LTC/USD,97.89,97.89,97.89,97.89,98.08956667,9601.9876813263,2022-05-01
1651437780,2022-05-01 20:43:00,LTC/USD,97.83,97.87,97.83,97.87,10.22424828,1000.6471791636,2022-05-01
1651437720,2022-05-01 20:42:00,LTC/USD,97.81,97.81,97.81,97.81,0.0,0.0,2022-05-01
1651437660,2022-05-01 20:41:00,LTC/USD,97.83,97.83,97.81,97.81,26.9717,2638.101977,2022-05-01
1651437600,2022-05-01 20:40:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651437540,2022-05-01 20:39:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651437480,2022-05-01 20:38:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651437420,2022-05-01 20:37:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651437360,2022-05-01 20:36:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651437300,2022-05-01 20:35:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651437240,2022-05-01 20:34:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651437180,2022-05-01 20:33:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651437120,2022-05-01 20:32:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
