unix,date,symbol,open,high,low,close,Volume ETH,Volume USD,just_date
1651553700,2022-05-03 04:55:00,ETH/USD,2852.92,2854.2,2852.92,2854.2,0.0991,282.85122,2022-05-03
1651553640,2022-05-03 04:54:00,ETH/USD,2851.84,2853.17,2851.84,2852.37,14.71977258,41986.2377140146,2022-05-03
1651553580,2022-05-03 04:53:00,ETH/USD,2851.71,2852.08,2851.46,2852.08,1.68158416,4796.0125510528005,2022-05-03
1651553520,2022-05-03 04:52:00,ETH/USD,2852.51,2852.66,2852.51,2852.66,0.0206,58.764796,2022-05-03
1651553460,2022-05-03 04:51:00,ETH/USD,2847.92,2850.88,2847.92,2850.88,10.30636487,29382.2094805856,2022-05-03
1651553400,2022-05-03 04:50:00,ETH/USD,2849.65,2849.65,2849.65,2849.65,0.09027072,257.239957248,2022-05-03
1651553340,2022-05-03 04:49:00,ETH/USD,2850.05,2850.05,2850.05,2850.05,0.0178,50.73089,2022-05-03
1651553280,2022-05-03 04:48:00,ETH/USD,2848.85,2851.52,2848.85,2850.98,14.9931496,42745.169646608,2022-05-03
1651553220,2022-05-03 04:47:00,ETH/USD,2847.76,2847.89,2847.76,2847.89,0.4037,1149.693193,2022-05-03
1651553160,2022-05-03 04:46:00,ETH/USD,2847.75,2847.75,2847.65,2847.65,0.0827,235.500655,2022-05-03
1651553100,2022-05-03 04:45:00,ETH/USD,2849.11,2849.14,2849.11,2849.14,0.0784,223.372576,2022-05-03
1651553040,2022-05-03 04:44:00,ETH/USD,2848.96,2849.29,2848.95,2849.29,0.0939,267.548331,2022-05-03
1651552980,2022-05-03 04:43:00,ETH/USD,2849.9,2850.29,2849.9,2850.14,4.85868198,13847.9238584772,2022-05-03
1651552920,2022-05-03 04:42:00,ETH/USD,2851.03,2851.03,2851.03,2851.03,0.0488,139.130264,2022-05-03
1651552860,2022-05-03 04:41:00,ETH/USD,2848.85,2849.23,2848.85,2849.15,0.12174577,346.8719605955,2022-05-03
