unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651253880,2022-04-29 17:38:00,BTC/USD,38657.11,38663.44,38640.66,38646.63,0.10764285,4160.0333960955,2022-04-29
1651253820,2022-04-29 17:37:00,BTC/USD,38642.55,38673.98,38634.67,38670.99,0.71269444,27560.5995622956,2022-04-29
1651253760,2022-04-29 17:36:00,BTC/USD,38613.26,38665.09,38613.26,38658.94,0.33616343,12995.7218705642,2022-04-29
1651253700,2022-04-29 17:35:00,BTC/USD,38670.12,38670.12,38609.15,38615.91,2.1468194,82901.38473665401,2022-04-29
1651253640,2022-04-29 17:34:00,BTC/USD,38680.2,38680.2,38646.91,38673.79,0.51935299,20085.3484711321,2022-04-29
1651253580,2022-04-29 17:33:00,BTC/USD,38677.71,38688.81,38658.75,38681.85,0.12531482,4847.409070017,2022-04-29
1651253520,2022-04-29 17:32:00,BTC/USD,38645.6,38681.35,38631.37,38677.96,0.71417551,27622.8518087596,2022-04-29
1651253460,2022-04-29 17:31:00,BTC/USD,38652.42,38693.84,38652.42,38662.74,0.03542902,1369.7829887147998,2022-04-29
1651253400,2022-04-29 17:30:00,BTC/USD,38623.41,38672.93,38623.41,38666.71,0.04207588,1626.9358499548,2022-04-29
1651253340,2022-04-29 17:29:00,BTC/USD,38633.77,38635.13,38613.98,38616.98,0.02652675,1024.382974215,2022-04-29
1651253280,2022-04-29 17:28:00,BTC/USD,38661.23,38661.23,38626.22,38642.69,0.64151855,24790.002456899503,2022-04-29
1651253220,2022-04-29 17:27:00,BTC/USD,38647.0,38674.15,38642.91,38642.91,0.14918668,5765.0074484388,2022-04-29
1651253160,2022-04-29 17:26:00,BTC/USD,38659.03,38690.76,38657.39,38662.06,0.26356895,10190.118559037,2022-04-29
1651253100,2022-04-29 17:25:00,BTC/USD,38627.12,38659.14,38614.39,38647.44,0.03244609,1253.9583165096,2022-04-29
1651253040,2022-04-29 17:24:00,BTC/USD,38627.33,38632.24,38606.6,38606.6,0.09672569,3734.250023554,2022-04-29
1651252980,2022-04-29 17:23:00,BTC/USD,38621.04,38627.33,38609.41,38623.6,0.13418434,5182.682274424001,2022-04-29
1651252920,2022-04-29 17:22:00,BTC/USD,38628.13,38630.4,38580.7,38622.78,0.0883136,3410.9167438080003,2022-04-29
1651252860,2022-04-29 17:21:00,BTC/USD,38614.33,38637.93,38596.15,38626.14,8.54417628,330028.5491759592,2022-04-29
