unix,date,symbol,open,high,low,close,Volume BCH,Volume USD,just_date
1651374360,2022-05-01 03:06:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374300,2022-05-01 03:05:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374240,2022-05-01 03:04:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374180,2022-05-01 03:03:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374120,2022-05-01 03:02:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374060,2022-05-01 03:01:00,BCH/USD,276.85,276.85,276.85,276.85,0.154,42.6349,2022-05-01
1651374000,2022-05-01 03:00:00,BCH/USD,276.87,276.92,276.87,276.92,6.1679,1708.0148680000002,2022-05-01
1651373940,2022-05-01 02:59:00,BCH/USD,276.81,276.85,276.81,276.85,1.948,539.3038,2022-05-01
1651373880,2022-05-01 02:58:00,BCH/USD,276.42,276.42,276.42,276.42,0.239,66.06438,2022-05-01
1651373820,2022-05-01 02:57:00,BCH/USD,276.79,276.79,276.79,276.79,0.0,0.0,2022-05-01
1651373760,2022-05-01 02:56:00,BCH/USD,276.79,276.79,276.79,276.79,0.0,0.0,2022-05-01
1651373700,2022-05-01 02:55:00,BCH/USD,276.79,276.79,276.79,276.79,0.236,65.32244,2022-05-01
1651373640,2022-05-01 02:54:00,BCH/USD,277.11,277.11,277.11,277.11,0.0,0.0,2022-05-01
1651373580,2022-05-01 02:53:00,BCH/USD,277.11,277.11,277.11,277.11,0.0,0.0,2022-05-01
1651373520,2022-05-01 02:52:00,BCH/USD,277.11,277.11,277.11,277.11,0.0,0.0,2022-05-01
1651373460,2022-05-01 02:51:00,BCH/USD,277.11,277.11,277.11,277.11,0.0,0.0,2022-05-01
1651373400,2022-05-01 02:50:00,BCH/USD,277.11,277.11,277.11,277.11,0.0,0.0,2022-05-01
1651373340,2022-05-01 02:49:00,BCH/USD,277.11,277.11,277.11,277.11,0.097,26.87967,2022-05-01
1651373280,2022-05-01 02:48:00,BCH/USD,276.9,276.9,276.9,276.9,0.0,0.0,2022-05-01
1651373220,2022-05-01 02:47:00,BCH/USD,276.9,276.9,276.9,276.9,0.21520193,59.589414417,2022-05-01
1651373160,2022-05-01 02:46:00,BCH/USD,277.01,277.01,277.01,277.01,0.0,0.0,2022-05-01
1651373100,2022-05-01 02:45:00,BCH/USD,277.01,277.01,277.01,277.01,0.0,0.0,2022-05-01
1651373040,2022-05-01 02:44:00,BCH/USD,277.01,277.01,277.01,277.01,0.0,0.0,2022-05-01
1651372980,2022-05-01 02:43:00,BCH/USD,277.0,277.01,277.0,277.01,5.191,1437.9589099999998,2022-05-01
1651372920,2022-05-01 02:42:00,BCH/USD,276.81,276.81,276.81,276.81,0.0,0.0,2022-05-01
1651372860,2022-05-01 02:41:00,BCH/USD,276.81,276.81,276.81,276.81,0.0,0.0,2022-05-01
1651372800,2022-05-01 02:40:00,BCH/USD,276.81,276.81,276.81,276.81,0.0,0.0,2022-05-01
1651372740,2022-05-01 02:39:00,BCH/USD,276.81,276.81,276.81,276.81,0.0,0.0,2022-05-01
1651372680,2022-05-01 02:38:00,BCH/USD,277.08,277.12,276.81,276.81,1.244,344.35164,2022-05-01
1651372620,2022-05-01 02:37:00,BCH/USD,277.02,277.02,276.95,276.95,0.392,108.5644,2022-05-01
1651372560,2022-05-01 02:36:00,BCH/USD,277.34,277.34,277.09,277.09,0.939,260.18751,2022-05-01
1651372500,2022-05-01 02:35:00,BCH/USD,277.85,277.85,277.85,277.85,0.0,0.0,2022-05-01
1651372440,2022-05-01 02:34:00,BCH/USD,277.85,277.85,277.85,277.85,0.0,0.0,2022-05-01
1651372380,2022-05-01 02:33:00,BCH/USD,277.85,277.85,277.85,277.85,0.0,0.0,2022-05-01
1651372320,2022-05-01 02:32:00,BCH/USD,277.85,277.85,277.85,277.85,0.0,0.0,2022-05-01
1651372260,2022-05-01 02:31:00,BCH/USD,277.85,277.85,277.85,277.85,0.0,0.0,2022-05-01
